gene	gene_name	tissue	pvalue	effect_size	pred_perf_r2
ENSG00000147883	CDKN2B	Brain_Anterior_cingulate_cortex_BA24	1.16691067039e-64	1.81968472038	0.04
ENSG00000272750	AL592148.3	Brain_Anterior_cingulate_cortex_BA24	1.9189241296600004e-12	-0.0931075935224	0.410141134625
ENSG00000134222	PSRC1	Brain_Anterior_cingulate_cortex_BA24	1.43014208858e-11	-0.135799306272	0.106317022374
ENSG00000198670	LPA	Brain_Anterior_cingulate_cortex_BA24	1.28760948582e-10	0.471995927257	0.049
ENSG00000260244	AC104083.1	Brain_Anterior_cingulate_cortex_BA24	2.12883699721e-10	-0.478175654837	0.038
ENSG00000146477	SLC22A3	Brain_Anterior_cingulate_cortex_BA24	9.16568965659e-10	0.123131291714	0.172222665964
ENSG00000163596	ICA1L	Brain_Anterior_cingulate_cortex_BA24	1.36456025184e-08	-0.164859862737	0.0746774367182
ENSG00000174953	DHX36	Brain_Anterior_cingulate_cortex_BA24	1.63536296621e-08	-0.16401306	0.0700895555108
ENSG00000115486	GGCX	Brain_Anterior_cingulate_cortex_BA24	6.08137602588e-08	0.0836623114122	0.30826997619
ENSG00000138380	CARF	Brain_Anterior_cingulate_cortex_BA24	2.20040287353e-07	-0.208952235982	0.0420838972232
ENSG00000111300	NAA25	Brain_Anterior_cingulate_cortex_BA24	2.9249131004e-07	-0.380198340105	0.045
ENSG00000138442	WDR12	Brain_Anterior_cingulate_cortex_BA24	4.4229457661e-07	-0.222853277209	0.0491780904161
ENSG00000271751	AP003392.4	Brain_Anterior_cingulate_cortex_BA24	8.78886858289e-07	-0.147329891577	0.152026269952
ENSG00000196821	ILRUN	Brain_Anterior_cingulate_cortex_BA24	8.80643761818e-07	0.0912956036798	0.216783837877
ENSG00000240053	LY6G5B	Brain_Anterior_cingulate_cortex_BA24	1.54276408492e-06	-0.17818257935	0.128765284477
ENSG00000123810	B9D2	Brain_Anterior_cingulate_cortex_BA24	1.67255517329e-06	0.255021265763	0.0897630806826
ENSG00000181019	NQO1	Brain_Anterior_cingulate_cortex_BA24	2.07848306462e-06	-0.397117926453	0.0416880094502
ENSG00000256269	HMBS	Brain_Anterior_cingulate_cortex_BA24	2.24255903622e-06	0.066403172775	0.311221139572
ENSG00000153774	CFDP1	Brain_Anterior_cingulate_cortex_BA24	2.6704960104e-06	-0.221848320472	0.0474180048901
ENSG00000198270	TMEM116	Brain_Anterior_cingulate_cortex_BA24	4.39425534335e-06	-0.117681432478	0.0917649950751
